,Sector,Train R2,Test R2,Train RMSE,Test RMSE,Train MAE,Test MAE,Train MAPE (%),Test MAPE (%)
0,Residential,0.9098757061473942,0.7454882241153452,0.00543334069174508,0.008853513338560564,0.0038515343737267407,0.00630989719296029,2.7611249881919298,4.405847181409978
1,All Sectors,0.9231966508075321,0.7649035625318281,0.0034332861677401497,0.005810134787547366,0.0024632291287497903,0.004022227763338159,2.199059601340824,3.5441073857006775
2,Commercial,0.9093912787841832,0.7526272555999163,0.00322041690022908,0.005209725688353176,0.0023753677557529843,0.003623706114381679,2.115944308274075,3.1638139418592255
3,Industrial,0.8769015189939562,0.7060682575406856,0.002458446010481967,0.0037727573162183122,0.0018941490914362866,0.002755914833385166,2.6196387773039125,3.705242288747869
4,Transportation,0.8407206405419095,0.6708136648561867,0.005017510294904792,0.007228540280511094,0.0036470161179731936,0.005013980522505326,3.338041335535602,4.577658134077535
